TM,lat,lon,ERA5_precipitation,ERA5_start_soil,ERA5_delta_soil,soil_temperature,evaporation,leaf_area_index_low_vegetation,pressure,temperature,wind_u,wind_v,Aspect,Dem,Slope,CLCD,BD,CLAY,GRAVL,POROSITY,SAND,SILT,EVI-day,NDVI-day,fenqu_ID,texture_class,topography_class,joint_class,FC_0_7cm,ASML1_RSM,DSML1_RSM,END_RSM
2018_04_21,36.8958,117.8042,0.0252025574445724,0.1373748779296875,0.2622833251953125,303.4354858398437,-0.0007639187388122,1.3826904296875,99894.796875,303.7613830566406,-1.4828672409057615,2.2735748291015625,31.25404167175293,35.0,0.3494479656219482,1.0,1.31,19.6,10.55,50.19,35.410000000000004,44.97,0.2642062604427337,0.3827125132083893,3.0,Loam,1,Loam_1,0.17948,58.42785771690204,111.55353174451064,169.98138946141268
2022_01_31,49.4958,121.0042,2.174079418182373e-05,0.348236083984375,7.62939453125e-05,262.6664123535156,-0.0001458907499909,1.097900390625,92563.0546875,256.85955810546875,2.770843505859375,-0.5766201019287109,218.62635803222656,719.0,0.1726131439208984,1.0,1.2,21.87,7.88,61.65,38.35,39.77,-0.0097500002011656,-0.0088625000789761,2.0,Loam,1,Loam_1,0.28595433,101.48359587828097,0.0222337209443258,101.50582959922528
2022_10_06,29.8958,112.8042,0.0021485090255737,0.2008056640625,0.06927490234375,287.09405517578125,-0.0008970466442406,1.4833984375,102116.078125,283.607421875,-0.0882110595703125,-4.715789794921875,9.727578163146973,27.0,0.045824434608221,1.0,1.34,21.26,10.92,52.32,31.61,47.12,0.1664187461137771,0.2829812467098236,7.0,Loam,1,Loam_1,0.29238,51.253496539082754,17.68167737746472,68.93517391654747
2020_05_24,49.0958,124.8042,0.0045336633920669,0.2752838134765625,0.107574462890625,286.07763671875,-0.0013973340392112,2.631103515625,97170.921875,285.582763671875,1.1336517333984375,-3.624908447265625,227.7449645996093,243.0,0.133375272154808,1.0,1.07,19.02,14.5,61.09,39.82,41.14,0.1993999928236007,0.4201000034809112,1.0,Loam,1,Loam_1,0.33445,76.92467993247736,30.060362148659465,106.98504208113684
2019_09_04,30.3958,105.7042,0.0001399964094161,0.2666778564453125,0.0732269287109375,301.5308837890625,-0.0019594356417655,1.7012939453125,97075.1875,299.892822265625,-1.648590087890625,-1.9161529541015625,225.67404174804688,244.0,0.0775663554668426,1.0,1.34,26.38,10.77,52.54,33.35,40.26,0.1538437455892563,0.253006249666214,6.0,Loam,1,Loam_1,0.32388,61.4466239673512,16.872595320668218,78.31921928801941
2020_05_22,40.7958,113.2042,0.0006268769502639,0.14764404296875,0.0245208740234375,295.6361999511719,-0.0010476037859916,1.17822265625,85632.8125,294.553466796875,7.2465362548828125,-1.9595794677734373,337.864501953125,1389.0,0.328773945569992,1.0,1.31,16.05,15.1,49.83,44.9,39.03,0.1427499949932098,0.2381187528371811,2.0,Sandy Loam,4,Sandy Loam_4,0.28945,38.93777036172841,6.466824821341212,45.40459518306962
2020_05_03,35.9958,114.1042,0.0050777881406247,0.1402740478515625,0.07647705078125,310.5911865234375,-0.0006709364242851,1.248291015625,95684.7734375,308.325439453125,-1.214263916015625,3.6449670791625977,64.70797729492188,250.0,0.3896358907222748,1.0,1.3,19.42,30.46,52.09,34.08,46.48,0.2337750047445297,0.3686375021934509,3.0,Loam,1,Loam_1,0.2774926,38.88504188290828,21.200025010022443,60.085066892930726
2022_05_05,43.2958,81.9042,0.003826230764389,0.420654296875,0.0017852783203125,286.8026123046875,-0.0011252951808273,1.3695068359375,81987.3203125,286.46630859375,0.04595947265625,-1.7139616012573242,198.663314819336,1145.0,0.9213605523109436,1.0,1.32,14.93,15.79,53.68,44.37,40.69,0.1828312426805496,0.273250013589859,2.0,Sandy Loam,4,Sandy Loam_4,0.2841,112.1708896981963,0.4760589848624843,112.6469486830588
2019_05_08,46.4958,132.1042,0.000128047162434,0.21600341796875,0.0060577392578125,287.8695068359375,-0.0014728968963027,1.3983154296875,98513.390625,290.126708984375,-2.511947631835937,2.4248647689819336,31.62555885314941,71.0,0.1341223120689392,1.0,1.32,25.07,6.5600000000000005,52.57,34.68,40.24,0.1080375015735626,0.2323749959468841,1.0,Loam,1,Loam_1,0.33055,49.50505309533468,1.3883516585792504,50.893404753913934
2019_01_03,33.3958,115.5042,0.0001923769741551,0.4229278564453125,0.0018463134765625,276.6295166015625,-0.0005403412505984,0.909423828125,102623.78125,280.1064758300781,-1.672607421875,1.1100454330444336,63.4349479675293,34.0,0.002885523950681,1.0,1.23,28.97,18.93,53.01,15.33,55.69,0.123406246304512,0.267362505197525,7.0,Silty Clay Loam,1,Silty Clay Loam_1,0.3039,113.14372679430612,0.4939348032655425,113.63766159757168
